Id:ID¿ Type¿ Kind¿ Code¿ Range¿ Location¿ Value¿ Raw¿ Async¿ Label:LABEL¿ SemanticType
30¿ exit¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ASTNode¿ 
31¿ exit¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ASTNode¿ 
1¿ Program¿ ¿ ¿ [159,330]¿ {start:{line:2,column:0},end:{line:6,column:5}}¿ ¿ ¿ ¿ ASTNode¿ 
2¿ ExpressionStatement¿ ¿ ¿ [159,330]¿ {start:{line:2,column:0},end:{line:6,column:5}}¿ ¿ ¿ ¿ ASTNode¿ 
3¿ CallExpression¿ ¿ ¿ [159,329]¿ {start:{line:2,column:0},end:{line:6,column:4}}¿ ¿ ¿ ¿ ASTNode¿ 
4¿ FunctionExpression¿ ¿ ¿ [160,326]¿ {start:{line:2,column:1},end:{line:6,column:1}}¿ ¿ ¿ false¿ ASTNode¿ 
5¿ BlockStatement¿ ¿ ¿ [171,326]¿ {start:{line:2,column:12},end:{line:6,column:1}}¿ ¿ ¿ ¿ ASTNode¿ 
6¿ VariableDeclaration¿ let¿ ¿ [177,242]¿ {start:{line:3,column:4},end:{line:3,column:69}}¿ ¿ ¿ ¿ ASTNode¿ 
7¿ VariableDeclarator¿ ¿ =¿ [181,241]¿ {start:{line:3,column:8},end:{line:3,column:68}}¿ ¿ ¿ ¿ ASTNode¿ 
8¿ Identifier¿ ¿ myObject¿ [181,189]¿ {start:{line:3,column:8},end:{line:3,column:16}}¿ ¿ ¿ ¿ ASTNode¿ 
9¿ LogicalExpression¿ ¿ ||¿ [192,241]¿ {start:{line:3,column:19},end:{line:3,column:68}}¿ ¿ ¿ ¿ ASTNode¿ 
10¿ MemberExpression¿ ¿ ¿ [192,207]¿ {start:{line:3,column:19},end:{line:3,column:34}}¿ ¿ ¿ ¿ ASTNode¿ 
11¿ Identifier¿ ¿ window¿ [192,198]¿ {start:{line:3,column:19},end:{line:3,column:25}}¿ ¿ ¿ ¿ ASTNode¿ 
12¿ Identifier¿ ¿ myObject¿ [199,207]¿ {start:{line:3,column:26},end:{line:3,column:34}}¿ ¿ ¿ ¿ ASTNode¿ 
13¿ ObjectExpression¿ ¿ ¿ [211,241]¿ {start:{line:3,column:38},end:{line:3,column:68}}¿ ¿ ¿ ¿ ASTNode¿ 
14¿ Property¿ init¿ ¿ [213,239]¿ {start:{line:3,column:40},end:{line:3,column:66}}¿ ¿ ¿ ¿ ASTNode¿ 
15¿ Identifier¿ ¿ setting_val¿ [213,224]¿ {start:{line:3,column:40},end:{line:3,column:51}}¿ ¿ ¿ ¿ ASTNode¿ 
16¿ Literal¿ ¿ ¿ [226,239]¿ {start:{line:3,column:53},end:{line:3,column:66}}¿ legit_value¿ 'legit_value'¿ ¿ ASTNode¿ 
17¿ VariableDeclaration¿ let¿ ¿ [247,276]¿ {start:{line:4,column:4},end:{line:4,column:33}}¿ ¿ ¿ ¿ ASTNode¿ 
18¿ VariableDeclarator¿ ¿ =¿ [251,275]¿ {start:{line:4,column:8},end:{line:4,column:32}}¿ ¿ ¿ ¿ ASTNode¿ 
19¿ Identifier¿ ¿ v¿ [251,252]¿ {start:{line:4,column:8},end:{line:4,column:9}}¿ ¿ ¿ ¿ ASTNode¿ 
20¿ MemberExpression¿ ¿ ¿ [255,275]¿ {start:{line:4,column:12},end:{line:4,column:32}}¿ ¿ ¿ ¿ ASTNode¿ 
21¿ Identifier¿ ¿ myObject¿ [255,263]¿ {start:{line:4,column:12},end:{line:4,column:20}}¿ ¿ ¿ ¿ ASTNode¿ 
22¿ Identifier¿ ¿ setting_val¿ [264,275]¿ {start:{line:4,column:21},end:{line:4,column:32}}¿ ¿ ¿ ¿ ASTNode¿ 
23¿ ExpressionStatement¿ ¿ ¿ [281,324]¿ {start:{line:5,column:4},end:{line:5,column:47}}¿ ¿ ¿ ¿ ASTNode¿ 
24¿ CallExpression¿ ¿ ¿ [281,323]¿ {start:{line:5,column:4},end:{line:5,column:46}}¿ ¿ ¿ ¿ ASTNode¿ 
25¿ MemberExpression¿ ¿ ¿ [281,303]¿ {start:{line:5,column:4},end:{line:5,column:26}}¿ ¿ ¿ ¿ ASTNode¿ 
26¿ Identifier¿ ¿ sessionStorage¿ [281,295]¿ {start:{line:5,column:4},end:{line:5,column:18}}¿ ¿ ¿ ¿ ASTNode¿ 
27¿ Identifier¿ ¿ setItem¿ [296,303]¿ {start:{line:5,column:19},end:{line:5,column:26}}¿ ¿ ¿ ¿ ASTNode¿ 
28¿ Literal¿ ¿ ¿ [304,319]¿ {start:{line:5,column:27},end:{line:5,column:42}}¿ hardcoded_key¿ 'hardcoded_key'¿ ¿ ASTNode¿ 
29¿ Identifier¿ ¿ v¿ [321,322]¿ {start:{line:5,column:44},end:{line:5,column:45}}¿ ¿ ¿ ¿ ASTNode¿ 
